market_code,market_name,jurisdiction,connector_status,official_source_name,official_source_url,signal_type,confirmation_rule,implementation_next
LSE,London Stock Exchange,United Kingdom,live_official_feed,LSE New issues API,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fnew-issues,Upcoming issues JSON component plus FCA NSM check,"Upcoming issue plus reviewed prospectus or admission evidence before status confirmation","Run LSE feed and FCA NSM cross-check continuously; retain manual admission review."
HKEX,Hong Kong Exchanges and Clearing,Hong Kong,live_official_feed,HKEX New Listings - AP and PHIP,https://www.hkexnews.hk/app/appindex.html,Application proofs and PHIP/listing lifecycle JSON feeds,"PHIP or official listing document required for advanced status","Run official JSON ingestion continuously and compare status transitions."
ASX,Australian Securities Exchange,Australia,live_official_feed,ASX Upcoming floats and listings,https://www.asx.com.au/listings/upcoming-floats-and-listings,Formal listing applications accepted by ASX in official HTML,"Official ASX record is an anticipated listing; dates and proposed codes remain subject to change","Run official HTML ingestion continuously and compare anticipated or withdrawn states."
TSX,TMX TSX and TSXV,Canada,live_official_feed,TSX New Company Listings,https://www.tsx.com/en/news/new-company-listings,Completed new company listings in official HTML,"Official TSX listing entry confirms listed status only","Run completed-listing ingestion continuously; do not automate SEDAR+ prospectus extraction without written permission."
SGX,Singapore Exchange,Singapore,live_official_feed,SGX IPO Prospectus API,https://www.sgx.com/securities/ipo-prospectus,Published IPO prospectus documents in official API,"Published prospectus requires review before treating an admission or trading as confirmed","Run official JSON ingestion continuously and review new prospectus documents."
JPX,Tokyo Stock Exchange / Japan EDINET,Japan,live_official_feed,JPX New Listings plus FSA EDINET Documents API,https://www.jpx.co.jp/english/listing/stocks/new/index.html,Official EDINET securities registration statements paired with TSE new-listing approvals/listing dates,"An EDINET offering filing starts documentary review; JPX New Listings confirms approved or completed TSE listing milestones without making an investment conclusion","EDINET offering monitor, JPX listing monitor and persisted daily diff are implemented. Exclude paid TDnet API from Open Edition."
CVM,Brazil CVM Open Data Portal,Brazil,live_official_feed,CVM Public Distribution Offerings Open Data,https://dados.cvm.gov.br/dataset/oferta-distrib,Registered or exempt public distribution offerings available as a daily ODbL ZIP dataset,"A CVM offering record starts Brazilian offering review; a B3 trading confirmation is required before listed status","Run the implemented CVM equity-offering ZIP monitor and daily diff; add separate B3 confirmation evidence before any listing milestone."
ESMA,European Union Prospectus Register,European Union (Germany Netherlands Italy),live_official_feed,ESMA Prospectus III Securities A2A Service,https://registers.esma.europa.eu/publication/helpApp,Share-classified prospectus securities and offer/admission event metadata in the official register,"An ESMA share record is prospectus or admission-review evidence; first trading still requires separate exchange confirmation","Run the implemented attributed SHRS monitor for Germany Netherlands and Italy and compare daily prospectus evidence."
KRX,Korea Exchange / OpenDART,South Korea,priority_connector,FSS OpenDART plus KRX OPEN API,https://engopendart.fss.or.kr/intro/main.do,Securities registration statements and offering disclosures from OpenDART paired with KRX official market statistics,"An OpenDART registration statement begins offering review; KRX evidence is required before treating a security as listed or trading","Implement a free-key OpenDART registration-statement collector and evaluate KRX OPEN API confirmation/output terms with attribution."
MOEX,Moscow Exchange / Bank of Russia,Russia,restricted_research_only,Bank of Russia Securities Register,https://www.cbr.ru/eng/press/event/?id=26912,Official Russian securities-register reference plus technically available MOEX ISS market-data API,"MOEX was designated by OFAC on 2024-06-12; no automated collection publication trading signal or position guidance is activated without sanctions and licensing review","Document official sources and sanctions status only. Do not implement MOEX or Bank of Russia ingestion in Open Edition unless legal review explicitly authorizes the proposed use."
