ticker,date,adjusted_high,adjusted_low,adjusted_close,source_provider
ACME,2023-01-03,101,99,100,synthetic
ACME,2023-06-01,121,116,118,synthetic
ACME,2024-01-02,117,113,115,synthetic
NOVA,2023-01-03,101,99,100,synthetic
NOVA,2023-06-01,98,86,90,synthetic
NOVA,2024-01-02,94,88,90,synthetic
BRIO,2023-01-03,51,49,50,synthetic
BRIO,2023-06-01,57,53,55,synthetic
BRIO,2024-01-02,58,55,56,synthetic
SPY,2023-01-03,381,377,380,synthetic
SPY,2023-06-01,424,419,422,synthetic
SPY,2024-01-02,477,472,475,synthetic
